,id,code,pe_ratio,turnover_ratio,pb_ratio,ps_ratio,pcf_ratio,capitalization,market_cap,circulating_cap,circulating_market_cap,day,pe_ratio_lyr
0,85782835,000001.XSHE,6.0274,0.3253,0.7094,1.3544,10.9125,1940591.875,2353.938,1940552.25,2353.8899,2022-08-16,6.4783
1,85781020,000002.XSHE,8.4802,0.8177,0.8113,0.424,-3.7517,1162538.375,1921.6759,971755.3125,1606.3116,2022-08-16,8.5317
2,85781144,000004.XSHE,-2.5737,3.1097,1.4477,5.1339999999999995,-42.7279,13284.8008,13.5372,11632.8477,11.8539,2022-08-16,-2.659
3,85780713,000005.XSHE,14.4905,0.4668,1.3926,5.2545,-727.6932,105853.6875,19.1595,105794.625,19.1488,2022-08-16,13.7802
4,85781944,000006.XSHE,17.7301,0.9609,0.7461,2.2271,-10.2852,134999.5,56.1598,134999.5,56.1598,2022-08-16,10.3675
5,85780663,000007.XSHE,76.411,2.7933,29.0404,11.2796,-284.059,34644.8047,28.1316,30894.8047,25.0866,2022-08-16,70.3807
6,85780861,000008.XSHE,-5.0106,0.4977,1.3222,2.9867,-41.868,278079.5312,68.1295,269393.4062,66.0014,2022-08-16,-4.886
7,85783282,000009.XSHE,41.0954,4.6238,5.0738,2.1203,160.8212,257921.3906,415.2534,255143.0312,410.7803,2022-08-16,40.0979
8,85781932,000010.XSHE,155.7893,2.1646,2.9894,2.1696,-397.2499,105869.2266,37.1601,52217.1484,18.3282,2022-08-16,158.4067
9,85782771,000011.XSHE,6.0919,0.8836,1.4983,1.2863,-1.8313,59597.9102,61.505,52647.5547,54.3323,2022-08-16,6.1262
10,85783090,000012.XSHE,16.0669,2.6705,1.9233,1.6054,75.4421,307069.2188,215.2555,195658.625,137.1567,2022-08-16,14.0752
11,85781226,000014.XSHE,33.0571,2.9439,2.1439,2.5784,-31.465,24204.623,20.0172,24204.623,20.0172,2022-08-16,56.5083
12,85782033,000016.XSHE,14.2713,0.7532,1.4506,0.2807,15.5226,240794.5469,133.641,159657.4375,88.6099,2022-08-16,14.7612
13,85780948,000017.XSHE,-944.5863,4.5458,315.7617,13.158,874.8924,55134.793,25.3069,30298.1016,13.9068,2022-08-16,-1273.819
14,85783759,000019.XSHE,20.7948,2.161,1.9965,0.9131,1647.5927,115253.5234,89.4367,41618.4844,32.2959,2022-08-16,20.8613
15,85782762,000020.XSHE,370.2218,0.7502,7.9917,3.7403,85.5368,28316.123,27.9197,18116.5391,17.8629,2022-08-16,387.6712
16,85781489,000021.XSHE,26.1342,2.3161,2.1712,1.3097,10.1466,156058.7656,213.6444,156001.3438,213.5658,2022-08-16,27.553
17,85781550,000023.XSHE,-16.6567,0.9227,4.0294,1.304,-7.2967,13875.624,15.2077,13875.624,15.2077,2022-08-16,-28.6752
18,85782486,000025.XSHE,65.1993,3.4161,6.4098,18.4963,183.1326,43105.832,93.3241,39277.832,85.0365,2022-08-16,71.2285
19,85781167,000026.XSHE,12.339,1.0656,1.4909999999999999,0.8716,-14.7609,42561.5195,43.9235,35943.7891,37.094,2022-08-16,11.3251
20,85783643,000027.XSHE,19.6114,0.6229,0.6686,0.8875,-309.2417,475739.0,308.7546,475739.0,308.7546,2022-08-16,14.5056
21,85782847,000028.XSHE,9.881,0.2028,0.8344,0.1792,-15.6053,42812.6992,124.4993,36773.3633,106.9369,2022-08-16,9.3158
22,85782024,000029.XSHE,32.845,0.6461,2.417,8.2265,-3.6366,101166.0,96.917,89166.0,85.421,2022-08-16,43.8864
23,85780933,000030.XSHE,15.6651,0.6044,1.4487,0.8137,20.5367,181055.2188,101.2099,176111.8438,98.4465,2022-08-16,12.0282
